VEH_ID,MDAREAS
100011,11
100021,12
100031,1
100031,2
100031,3
100031,4
100031,5
100031,6
100031,7
100031,8
100031,9
100031,10
100031,11
100031,12
100031,13
100031,14
100041,1
100041,2
100041,3
100041,4
100041,5
100041,6
100041,7
100041,8
100041,9
100041,10
100041,11
100041,12
100041,13
100041,14
100042,6
100051,1
100051,2
100051,3
100051,4
100051,5
100051,6
100051,7
100051,8
100051,9
100051,10
100051,11
100051,12
100051,13
100051,14
100061,12
100062,15
100071,1
100071,2
100071,3
100071,4
100071,5
100071,6
100071,7
100071,8
100071,9
100071,10
100071,11
100071,12
100071,13
100071,14
100081,1
100081,2
100081,3
100081,4
100081,5
100081,6
100081,7
100081,8
100081,9
100081,10
100081,11
100081,12
100081,13
100081,14
100091,1
100091,12
100092,6
100092,7
100101,1
100101,12
100111,1
100111,11
100111,12
100121,12
100131,3
100131,4
100131,12
100141,1
100141,2
100141,3
100141,4
100141,5
100141,6
100141,7
100141,8
100141,9
100141,10
100141,11
100141,12
100141,13
100141,14
100151,1
100151,2
100151,3
100151,4
100151,5
100151,6
100151,7
100151,8
100151,9
100151,10
100151,11
100151,12
100151,13
100151,14
100152,3
100152,4
100152,5
100152,6
100152,7
100161,12
100171,12
100181,8
100181,9
100181,10
100181,11
100182,1
100182,11
100182,12
100182,14
100191,1
100191,2
100191,3
100191,4
100191,5
100191,6
100191,7
100191,8
100191,9
100191,10
100191,11
100191,12
100191,13
100191,14
100201,1
100201,2
100201,3
100201,4
100201,5
100201,6
100201,7
100201,8
100201,9
100201,10
100201,11
100201,12
100201,13
100201,14
100211,1
100211,2
100211,3
100211,4
100211,5
100211,6
100211,7
100211,8
100211,9
100211,10
100211,11
100211,12
100211,13
100211,14
100221,1
100221,12
100231,1
100231,2
100231,3
100231,4
100231,5
100231,6
100231,7
100231,8
100231,9
100231,10
100231,11
100231,12
100231,13
100231,14
100241,9
100251,12
100261,9
100271,1
100271,2
100271,3
100271,4
100271,5
100271,6
100271,7
100271,8
100271,9
100271,10
100271,11
100271,12
100271,13
100271,14
100281,1
100281,11
100281,12
100282,6
100291,12
100292,12
100301,1
100301,2
100301,3
100301,4
100301,5
100301,6
100301,7
100301,8
100301,9
100301,10
100301,11
100301,12
100301,13
100301,14
100311,1
100311,2
100311,3
100311,4
100311,5
100311,6
100311,7
100311,8
100311,9
100311,10
100311,11
100311,12
100311,13
100311,14
100321,12
100322,12
100331,1
100331,2
100331,12
100341,1
100341,2
100341,3
100341,4
100341,5
100341,6
100341,7
100341,8
100341,9
100341,10
100341,11
100341,12
100341,13
100341,14
100351,1
100351,2
100351,3
100351,4
100351,5
100351,6
100351,7
100351,8
100351,9
100351,10
100351,11
100351,12
100351,13
100351,14
100361,2
100371,1
100371,2
100371,3
